n_iter	likelihood	edges
28	[0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.25000000000000083, 0.19999999999999943, 0.49999999999999906, 0.25000000000000083, 0.25000000000000083, 0.49999999999999906, 0.19999999999999943, 0.19999999999999943, 0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.19999999999999943, 0.49999999999999906, 0.19999999999999943, 0.19999999999999943, 0.49999999999999906, 0.25000000000000083, 0.19999999999999943, 0.49999999999999906, 0.49999999999999906]	1-2,1-3,2-5,3-4,5-6,None-1
22	[0.19999999999999943, 0.3333333333333341, 0.19999999999999943, 0.49999999999999906, 0.19999999999999943, 0.3333333333333341, 0.19999999999999943, 0.49999999999999906, 0.19999999999999943, 0.3333333333333341, 0.19999999999999943, 0.3333333333333341, 0.19999999999999943, 0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.3333333333333341, 0.19999999999999943, 0.49999999999999906, 0.3333333333333341, 0.19999999999999943, 0.19999999999999943]	1-2,1-3,2-5,2-6,3-4,None-1
18	[0.19999999999999943, 0.19999999999999943, 0.49999999999999906, 0.19999999999999943, 0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.19999999999999943, 0.49999999999999906, 0.19999999999999943, 0.19999999999999943, 0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906]	1-2,1-3,2-4,3-5,3-6,None-1
16	[0.19999999999999943, 0.25000000000000083, 0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.25000000000000083, 0.49999999999999906, 0.19999999999999943, 0.25000000000000083, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.19999999999999943, 0.49999999999999906]	1-2,1-3,3-4,3-5,4-6,None-1
14	[0.19999999999999943, 0.25000000000000083, 0.49999999999999906, 0.49999999999999906, 0.19999999999999943, 0.25000000000000083, 0.19999999999999943, 0.25000000000000083, 0.49999999999999906, 0.49999999999999906, 0.19999999999999943, 0.25000000000000083, 0.49999999999999906, 0.19999999999999943]	1-2,1-3,2-4,3-5,5-6,None-1
13	[0.25000000000000083, 0.3333333333333341, 0.19999999999999943, 0.19999999999999943, 0.19999999999999943, 0.25000000000000083, 0.19999999999999943, 0.25000000000000083, 0.49999999999999906, 0.25000000000000083, 0.49999999999999906, 0.19999999999999943, 0.19999999999999943]	1-2,1-3,2-6,3-4,3-5,None-1
13	[0.19999999999999943, 0.19999999999999943, 0.25000000000000083, 0.49999999999999906, 0.19999999999999943, 0.25000000000000083, 0.3333333333333341, 0.19999999999999943, 0.3333333333333341, 0.25000000000000083, 0.3333333333333341, 0.3333333333333341, 0.3333333333333341]	1-2,1-3,2-4,2-6,4-5,None-1
12	[0.19999999999999943, 0.49999999999999906, 0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.19999999999999943, 0.19999999999999943, 0.19999999999999943, 0.19999999999999943, 0.19999999999999943, 0.19999999999999943, 0.19999999999999943]	1-2,1-3,2-4,4-5,4-6,None-1
11	[0.19999999999999943, 0.19999999999999943, 0.19999999999999943, 0.25000000000000083, 0.25000000000000083, 0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.19999999999999943, 0.49999999999999906, 0.19999999999999943]	1-2,1-3,2-5,3-4,3-6,None-1
10	[0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.19999999999999943, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.49999999999999906, 0.19999999999999943]	1-2,1-3,3-4,4-5,4-6,None-1
