Patient_ID	Sample_ID	Sample_Alias	Cluster_ID	postDP_ccf_mean	postDP_ccf_CI_low	postDP_ccf_CI_high	postDP_ccf_0.0	postDP_ccf_0.01	postDP_ccf_0.02	postDP_ccf_0.03	postDP_ccf_0.04	postDP_ccf_0.05	postDP_ccf_0.06	postDP_ccf_0.07	postDP_ccf_0.08	postDP_ccf_0.09	postDP_ccf_0.1	postDP_ccf_0.11	postDP_ccf_0.12	postDP_ccf_0.13	postDP_ccf_0.14	postDP_ccf_0.15	postDP_ccf_0.16	postDP_ccf_0.17	postDP_ccf_0.18	postDP_ccf_0.19	postDP_ccf_0.2	postDP_ccf_0.21	postDP_ccf_0.22	postDP_ccf_0.23	postDP_ccf_0.24	postDP_ccf_0.25	postDP_ccf_0.26	postDP_ccf_0.27	postDP_ccf_0.28	postDP_ccf_0.29	postDP_ccf_0.3	postDP_ccf_0.31	postDP_ccf_0.32	postDP_ccf_0.33	postDP_ccf_0.34	postDP_ccf_0.35	postDP_ccf_0.36	postDP_ccf_0.37	postDP_ccf_0.38	postDP_ccf_0.39	postDP_ccf_0.4	postDP_ccf_0.41	postDP_ccf_0.42	postDP_ccf_0.43	postDP_ccf_0.44	postDP_ccf_0.45	postDP_ccf_0.46	postDP_ccf_0.47	postDP_ccf_0.48	postDP_ccf_0.49	postDP_ccf_0.5	postDP_ccf_0.51	postDP_ccf_0.52	postDP_ccf_0.53	postDP_ccf_0.54	postDP_ccf_0.55	postDP_ccf_0.56	postDP_ccf_0.57	postDP_ccf_0.58	postDP_ccf_0.59	postDP_ccf_0.6	postDP_ccf_0.61	postDP_ccf_0.62	postDP_ccf_0.63	postDP_ccf_0.64	postDP_ccf_0.65	postDP_ccf_0.66	postDP_ccf_0.67	postDP_ccf_0.68	postDP_ccf_0.69	postDP_ccf_0.7	postDP_ccf_0.71	postDP_ccf_0.72	postDP_ccf_0.73	postDP_ccf_0.74	postDP_ccf_0.75	postDP_ccf_0.76	postDP_ccf_0.77	postDP_ccf_0.78	postDP_ccf_0.79	postDP_ccf_0.8	postDP_ccf_0.81	postDP_ccf_0.82	postDP_ccf_0.83	postDP_ccf_0.84	postDP_ccf_0.85	postDP_ccf_0.86	postDP_ccf_0.87	postDP_ccf_0.88	postDP_ccf_0.89	postDP_ccf_0.9	postDP_ccf_0.91	postDP_ccf_0.92	postDP_ccf_0.93	postDP_ccf_0.94	postDP_ccf_0.95	postDP_ccf_0.96	postDP_ccf_0.97	postDP_ccf_0.98	postDP_ccf_0.99	postDP_ccf_1.0
patient2	p2_t1		1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.335e-41	7.814597e-35	2.9423075e-28	1.2785423e-21	8.077394e-15	7.468258e-08	1.0
patient2	p2_t2		1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.156e-42	5.7558525e-38	5.6956682e-34	6.0184073e-30	6.8465595e-26	8.448328e-22	1.1381943e-17	1.6840076e-13	2.7496296e-09	4.974276e-05	0.9999466
patient2	p2_t3		1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.022e-42	1.560837e-35	1.2501224e-27	2.0888947e-19	2.8355585e-10	1.0
patient2	p2_t1		2	0.56	0.52	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2e-44	1.944313e-39	7.500561e-35	1.4055321e-30	1.354973e-26	7.0686746e-23	2.0870628e-19	3.629879e-16	3.853879e-13	1.3840747e-29	6.0106386e-27	1.7386408e-24	3.4300364e-22	4.716004e-20	4.6088717e-18	3.2596168e-16	1.6962243e-14	6.5936406e-13	3.0124976e-12	6.807988e-11	1.1948899e-09	1.646879e-08	1.8009432e-07	1.577567e-06	1.1168254e-05	6.4434316e-05	0.00030532337	0.0011969008	0.003908143	0.010697365	0.02469231	0.04833782	0.08067871	0.115381025	0.14206192	0.15125181	0.13984345	0.112722844	0.07951824	0.040767305	0.02689584	0.012980898	0.0055553964	0.0021143416	0.0007175815	0.00021773581	5.9215832e-05	1.4468019e-05	3.1829338e-06	3.7824824e-13	3.9888277e-11	6.486394e-12	9.573583e-13	1.2847763e-13	1.5703196e-14	1.7509554e-15	1.7837938e-16	1.6628491e-17	1.4203847e-18	1.1132445e-19	8.016652e-21	5.3104374e-22	3.2400796e-23	1.8229698e-24	9.468737e-26	4.5457994e-27	2.0194412e-28	8.311353e-30	3.1730373e-31	1.12525585e-32	3.7125813e-34	1.14171496e-35	3.2800756e-37	8.828503e-39	2.23438e-40	5.343e-42	1.22e-43	3e-45	0.0	0.0
patient2	p2_t2		2	0.53	0.53	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.19e-43	1.230996e-39	1.4301909e-36	1.1559325e-33	6.647424e-31	2.7761943e-28	8.5788654e-26	1.9951502e-23	3.546907e-21	4.8894315e-19	5.2957033e-17	4.561426e-15	3.1598037e-13	1.7786682e-11	8.2147317e-10	3.1406206e-08	1.9367011e-11	3.8400755e-10	8.735438e-09	1.6952276e-07	2.82438e-06	4.0638835e-05	0.0005078447	0.005540497	0.053034462	0.4474768	0.49339947	7.723507e-17	4.5790495e-16	2.4322223e-15	1.1615087e-14	5.0035422e-14	1.9505491e-13	6.902014e-13	2.223243e-12	6.536968e-12	1.7590597e-11	4.3430985e-11	9.861829e-11	2.0642764e-10	3.9918588e-10	7.1468903e-10	1.1870394e-09	1.8326966e-09	2.6352502e-09	3.535716e-09	4.4345105e-09	5.2084537e-09	5.7390332e-09	5.9429337e-09	5.793629e-09	5.3267235e-09	4.6270197e-09	3.8042827e-09	2.9661031e-09	2.197219e-09	1.5495619e-09	1.0425275e-09	6.7058964e-10	4.133432e-10	2.4472965e-10	9.365958e-11	7.681513e-11	4.094776e-11	2.1200187e-11	1.0696051e-11	5.2778285e-12	2.5572977e-12	1.2222865e-12	5.792424e-13	2.7377135e-13	1.2991673e-13	6.237041e-14
patient2	p2_t3		2	0.69	0.66	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.02e-43	1.019582e-39	1.37506535e-36	1.2494797e-33	7.7697285e-31	3.3542526e-28	1.01900645e-25	2.2060219e-23	3.4436074e-21	3.919069e-19	3.285494e-17	2.048793e-15	9.58999e-14	3.398535e-12	9.192095e-11	1.9119943e-09	3.0803925e-08	3.8700077e-07	3.8155813e-06	2.9699813e-05	0.00018355208	0.00090551766	0.0035839884	0.011434994	0.029544484	0.062079303	0.106509104	0.14978765	0.17328674	0.16548261	0.13086657	0.08596529	0.047041886	0.021503357	0.008231731	0.0026453906	0.00071530766	0.00016309899	3.142195e-05	6.849316e-07	9.473303e-08	1.1130851e-08	1.112834e-09	9.482075e-11	6.896517e-12	4.2888617e-13	2.284854e-14	1.0452322e-15	4.121077e-23	7.4730744e-23	4.0339574e-24	1.9592623e-25	8.8025275e-27	3.8295663e-28	1.7373567e-29	9.217493e-31	6.745125e-32	7.7601824e-33	2.1079633e-33	1.554457e-33
patient2	p2_t1		3	0.62	0.59	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7e-44	3.25304e-40	3.2681247e-36	1.7571162e-32	5.193798e-29	8.6555224e-26	8.324106e-23	4.7221605e-20	1.6126602e-17	3.3793063e-15	4.4235871e-13	3.6787476e-11	1.9741329e-09	6.939335e-08	1.6200252e-06	2.5453455e-05	0.0002724921	0.0020112484	0.010347458	0.0375022	0.09670353	0.086434856	0.24030231	0.23562928	0.17020755	0.07752937	0.031081403	0.00938173	0.0021459996	0.00037435553	5.0098486e-05	2.7637342e-22	3.6096362e-16	2.2546245e-17	1.1036088e-18	4.253182e-20	1.2965184e-21	3.1393865e-23	6.063659e-25	9.380041e-27	1.16634e-28	1.1701982e-30	7.1919595e-33	6.2740335e-35	3.3754291e-37	1.484967e-39	5.36e-42	1.5e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
patient2	p2_t2		3	0.4	0.38	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3582e-41	3.8857937e-36	7.445865e-32	5.6806267e-28	1.8696777e-24	2.8473247e-21	5.6754325e-19	2.2088507e-16	4.6853194e-14	5.6529165e-12	3.995058e-10	1.7582641e-08	4.839249e-07	8.642413e-06	0.000102727994	0.00083186314	0.0046862215	0.018726822	0.05403428	0.11442199	0.1805282	0.21515594	0.19623978	0.13860175	0.076656535	5.2484753e-12	6.859686e-10	1.932385e-10	4.424098e-11	8.297427e-12	1.2841939e-12	1.6514611e-13	1.7763126e-14	1.6076376e-15	1.2314382e-16	3.2364684e-18	6.855745e-30	3.2848188e-31	1.3589755e-32	4.875035e-34	1.5228086e-35	4.158125e-37	9.961657e-39	2.10132e-40	3.915e-42	6.4e-44	1e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
patient2	p2_t3		3	0.38	0.36	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.7e-44	1.5165346e-37	7.8275275e-32	1.02624225e-26	3.7484653e-22	4.143424e-18	1.4925449e-14	1.8732238e-11	8.699789e-09	1.5791686e-06	0.000117744086	0.003772904	0.05415066	0.36154103	0.27518862	0.1347398	0.11034289	0.047555022	0.011059779	0.0014207152	0.000103001104	4.3001646e-06	1.0532093e-07	1.539663e-09	1.36561595e-11	7.459523e-14	4.7001885e-17	1.0150058e-19	1.4044659e-22	1.2597362e-25	7.403421e-29	2.8801137e-32	7.4864074e-36	1.31206e-39	1.57e-43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
patient2	p2_t1		4	0.01	0.01	0.01	0.0	0.99998474	1.578248e-05	2.415032e-10	3.5822307e-15	5.1500233e-20	7.174808e-25	9.6840956e-30	1.2661331e-34	1.603258e-39	2e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
