Patient_ID	Sample_ID	Cell_population	Cell_abundance
patient2	p2_t1	CL1	0
patient2	p2_t1	CL1_CL2	36
patient2	p2_t1	CL1_CL3	28
patient2	p2_t1	CL1_CL2_CL4	1
patient2	p2_t1	CL1_CL3_CL5	20
patient2	p2_t1	CL1_CL3_CL6	15
patient2	p2_t2	CL1	6
patient2	p2_t2	CL1_CL2	28
patient2	p2_t2	CL1_CL3	0
patient2	p2_t2	CL1_CL2_CL4	26
patient2	p2_t2	CL1_CL3_CL5	28
patient2	p2_t2	CL1_CL3_CL6	12
patient2	p2_t3	CL1	0
patient2	p2_t3	CL1_CL2	6
patient2	p2_t3	CL1_CL3	27
patient2	p2_t3	CL1_CL2_CL4	57
patient2	p2_t3	CL1_CL3_CL5	9
patient2	p2_t3	CL1_CL3_CL6	1
