Patient_ID	Sample_ID	Cell_population	Cell_abundance
patient2	p2_t1	CL1	0
patient2	p2_t1	CL1_CL2	50
patient2	p2_t1	CL1_CL3	0
patient2	p2_t1	CL1_CL3_CL4	33
patient2	p2_t1	CL1_CL2_CL5	1
patient2	p2_t1	CL1_CL3_CL4_CL6	16
patient2	p2_t2	CL1	0
patient2	p2_t2	CL1_CL2	10
patient2	p2_t2	CL1_CL3	38
patient2	p2_t2	CL1_CL3_CL4	26
patient2	p2_t2	CL1_CL2_CL5	13
patient2	p2_t2	CL1_CL3_CL4_CL6	13
patient2	p2_t3	CL1	0
patient2	p2_t3	CL1_CL2	0
patient2	p2_t3	CL1_CL3	61
patient2	p2_t3	CL1_CL3_CL4	9
patient2	p2_t3	CL1_CL2_CL5	21
patient2	p2_t3	CL1_CL3_CL4_CL6	9
