Patient_ID	Sample_ID	Sample_Alias	Cluster_ID	postDP_ccf_mean	postDP_ccf_CI_low	postDP_ccf_CI_high	postDP_ccf_0.0	postDP_ccf_0.01	postDP_ccf_0.02	postDP_ccf_0.03	postDP_ccf_0.04	postDP_ccf_0.05	postDP_ccf_0.06	postDP_ccf_0.07	postDP_ccf_0.08	postDP_ccf_0.09	postDP_ccf_0.1	postDP_ccf_0.11	postDP_ccf_0.12	postDP_ccf_0.13	postDP_ccf_0.14	postDP_ccf_0.15	postDP_ccf_0.16	postDP_ccf_0.17	postDP_ccf_0.18	postDP_ccf_0.19	postDP_ccf_0.2	postDP_ccf_0.21	postDP_ccf_0.22	postDP_ccf_0.23	postDP_ccf_0.24	postDP_ccf_0.25	postDP_ccf_0.26	postDP_ccf_0.27	postDP_ccf_0.28	postDP_ccf_0.29	postDP_ccf_0.3	postDP_ccf_0.31	postDP_ccf_0.32	postDP_ccf_0.33	postDP_ccf_0.34	postDP_ccf_0.35	postDP_ccf_0.36	postDP_ccf_0.37	postDP_ccf_0.38	postDP_ccf_0.39	postDP_ccf_0.4	postDP_ccf_0.41	postDP_ccf_0.42	postDP_ccf_0.43	postDP_ccf_0.44	postDP_ccf_0.45	postDP_ccf_0.46	postDP_ccf_0.47	postDP_ccf_0.48	postDP_ccf_0.49	postDP_ccf_0.5	postDP_ccf_0.51	postDP_ccf_0.52	postDP_ccf_0.53	postDP_ccf_0.54	postDP_ccf_0.55	postDP_ccf_0.56	postDP_ccf_0.57	postDP_ccf_0.58	postDP_ccf_0.59	postDP_ccf_0.6	postDP_ccf_0.61	postDP_ccf_0.62	postDP_ccf_0.63	postDP_ccf_0.64	postDP_ccf_0.65	postDP_ccf_0.66	postDP_ccf_0.67	postDP_ccf_0.68	postDP_ccf_0.69	postDP_ccf_0.7	postDP_ccf_0.71	postDP_ccf_0.72	postDP_ccf_0.73	postDP_ccf_0.74	postDP_ccf_0.75	postDP_ccf_0.76	postDP_ccf_0.77	postDP_ccf_0.78	postDP_ccf_0.79	postDP_ccf_0.8	postDP_ccf_0.81	postDP_ccf_0.82	postDP_ccf_0.83	postDP_ccf_0.84	postDP_ccf_0.85	postDP_ccf_0.86	postDP_ccf_0.87	postDP_ccf_0.88	postDP_ccf_0.89	postDP_ccf_0.9	postDP_ccf_0.91	postDP_ccf_0.92	postDP_ccf_0.93	postDP_ccf_0.94	postDP_ccf_0.95	postDP_ccf_0.96	postDP_ccf_0.97	postDP_ccf_0.98	postDP_ccf_0.99	postDP_ccf_1.0
patient2	p2_t1		1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77e-43	9.276859e-39	4.9292276e-34	2.6609825e-29	1.4619504e-24	8.1859105e-20	4.676871e-15	2.7305522e-10	1.6317172e-05	0.99998474
patient2	p2_t2		1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4e-45	6.971523e-37	4.226849e-28	3.5167716e-19	4.896958e-10	1.0
patient2	p2_t3		1	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8e-44	4.997e-42	2.49812e-40	2.1466738e-38	1.6825174e-36	1.2080974e-34	7.981086e-33	4.8714174e-31	2.7587842e-29	1.4557209e-27	7.1857605e-26	3.3318404e-24	1.4571859e-22	1.582394e-37	1.2263587e-35	9.294629e-34	6.91283e-32	5.0615154e-30	3.6601966e-28	5.0468124e-27	3.7461582e-25	2.769527e-23	2.0439156e-21	1.5086895e-19	1.1159498e-17	8.2843793e-16	6.181709e-14	4.6412436e-12	3.5101133e-10	2.6759237e-08	2.0575196e-06	0.00015962133	0.012496853	0.98733974
patient2	p2_t1		2	0.48	0.33	0.57	0.0	6.715733e-38	3.1970836e-30	8.583546e-26	1.0771742e-22	2.5224275e-20	2.0420562e-18	7.9410934e-17	1.8052072e-15	2.7227354e-14	2.9707736e-13	2.4940397e-12	1.6860983e-11	9.5022434e-11	4.5857063e-10	1.9358684e-09	7.272704e-09	2.4658442e-08	7.633779e-08	2.1789668e-07	5.7820216e-07	1.436424e-06	3.3611493e-06	7.446873e-06	1.5693806e-05	3.1585874e-05	6.0926577e-05	0.000112987866	0.00020201516	0.00034909885	0.0005843875	0.00094955735	0.0015003912	0.0023092572	0.003467227	0.0050854967	0.0072958316	0.010249676	0.014115701	0.01907559	0.025318114	0.033031438	0.042393956	0.053564414	0.066670895	0.08180054	0.09898999	0.118216716	0.13939326	0.16236378	0.0016103112	0.0018327441	0.002063154	0.0022980615	0.0025336554	0.0027658863	0.0029906018	0.0032036959	0.0034012222	0.0035795344	0.0037353907	0.003866061	0.0039693993	0.004043892	0.0040886737	0.0041035493	0.0040889545	0.004045944	0.003976098	0.003881444	0.003764422	0.0036277436	0.003474317	0.003307183	0.0031293868	0.002943928	0.0027536897	0.0025613757	0.0023694637	0.0021801894	0.0019954864	0.0018170185	0.0016461452	0.001483941	0.0013312063	0.0011884861	0.001056096	0.0009341389	0.00082254334	0.00072108425	0.00062940887	0.00054707046	0.00047354758	0.0004082648	0.00035061693	0.0002999821	0.0002557391	0.00021727823	0.00018401058	0.00015537537	0.00013084617
patient2	p2_t2		2	0.94	0.82	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-45	7.4e-44	4.676e-42	2.3457e-40	9.538971e-39	3.2059756e-37	9.055513e-36	2.1811989e-34	4.5379544e-33	8.24742e-32	1.3225429e-30	1.8880135e-29	2.4185963e-28	2.8002012e-27	2.949075e-26	2.841709e-25	2.5186534e-24	2.0632078e-23	1.568936e-22	1.1119785e-21	7.372562e-21	4.5881327e-20	2.6884528e-19	1.4875286e-18	7.792547e-18	3.8744488e-17	1.8325432e-16	8.262823e-16	3.558722e-15	1.4667284e-14	5.794852e-14	2.1982039e-13	8.0182443e-13	2.8163776e-12	9.538338e-12	3.1186307e-11	9.855323e-11	3.013489e-10	8.9249697e-10	2.5627314e-09	7.140994e-09	1.9326155e-08	5.0841553e-08	1.3011031e-07	3.2414533e-07	7.8668415e-07	1.8611236e-06	4.294689e-06	9.672086e-06	2.1270565e-05	4.5701843e-05	9.5983596e-05	0.0001971376	5.402008e-05	0.000106245985	0.00020460747	0.00038595995	0.00071339094	0.0012924692	0.0022959246	0.004000053	0.006837038	0.01146774	0.018880188	0.030518003	0.04844269	0.075530045	0.11569842	5.383663e-07	1.4212768e-06	3.7102627e-06	9.580065e-06	2.4472467e-05	6.186361e-05	0.00015478999	0.0003834395	0.00094057206	0.002285173	0.005500047	0.013116544	0.030999951	0.072622545	0.16866626	0.38842493
patient2	p2_t3		2	0.53	0.33	0.77	0.0	1.56692e-15	2.68026e-12	1.93603e-10	3.8273833e-09	3.719676e-08	2.306873e-07	1.0492869e-06	3.803574e-06	1.15927305e-05	3.0815223e-05	7.332675e-05	0.00015923711	0.00032023227	0.00060320424	0.0010738849	0.0018201212	0.0029544441	0.0046155266	0.0002557935	0.0003745223	0.0005333798	0.00074076466	0.0010054789	0.001336456	0.0017424689	0.002231795	0.002811906	0.0034891362	0.0042684204	0.0051530106	0.006144298	0.007241658	0.0084423935	0.00974165	0.01113253	0.0126061505	0.014151812	0.015757192	0.012428027	0.019091422	0.020789936	0.022488201	0.024169935	0.025819117	0.02742006	0.028957793	0.030418236	0.03178842	0.033056807	0.034213193	0.03524891	0.036157016	0.036932085	0.037570536	0.03807029	0.03843077	0.038653035	0.038739428	0.038693644	0.011889957	0.01180292	0.01168073	0.011525658	0.011340176	0.011126883	0.010888427	0.0106275985	0.010347133	0.0100497715	0.009738213	0.009415117	0.009083005	0.008744292	0.008401272	0.008056111	0.007710808	0.007367183	0.007026933	0.0066915527	0.0027939535	0.0026600002	0.0025296693	0.0024033163	0.0022812588	0.002163745	0.0020509695	0.001943075	0.0018401683	0.0017422994	0.0016494909	0.0015617305	0.0014789749	0.0014011522	0.0013281794	0.0012599437	0.0011963245	0.0011371901	0.0010823963	0.001031796	0.0009852416
patient2	p2_t1		3	0.49	0.48	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1e-44	9.1456e-41	4.1251684e-37	1.0658703e-33	1.6346182e-30	1.5361992e-27	9.109231e-25	3.4992628e-22	8.921861e-20	1.5435498e-17	1.8491799e-15	1.5629398e-13	9.4816715e-12	4.194682e-10	7.089951e-09	1.7414769e-07	3.2500232e-06	4.6629637e-05	0.0005200347	0.0045544645	0.031626794	0.17570433	0.7875423	4.1012238e-30	1.8958635e-24	4.6708766e-24	9.556854e-24	1.6341066e-23	2.3486565e-23	2.8531496e-23	2.9452008e-23	6.629139e-24	5.0134134e-24	3.2674216e-24	1.8430658e-24	9.033516e-25	3.8625095e-25	1.445739e-25	4.754392e-26	1.3781286e-26	3.5320977e-27	8.0288957e-28	1.6233229e-28	2.9273822e-29	4.7206236e-30	6.8245083e-31	8.8665705e-32	1.0375759e-32	3.5705453e-34	3.4124082e-35	2.956359e-36	2.3263655e-37	1.665936e-38	1.087661e-39	6.485e-41	3.537e-42	1.77e-43	8e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
patient2	p2_t2		3	0.69	0.68	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.626e-42	1.8089498e-38	7.487753e-35	1.8944758e-31	2.9775356e-28	2.9514062e-25	1.8714063e-22	7.693648e-20	2.0367281e-17	3.725513e-15	4.4911235e-13	3.6772883e-11	2.0658766e-09	8.0386e-08	2.1861447e-06	4.1910618e-05	0.00057094597	0.005569953	0.012684549	0.06482469	0.24218702	0.6655645	0.001171237	0.0017719709	0.0020053035	0.0017060651	0.0010964039	0.00053461373	0.00019866103	5.6487333e-05	1.2336879e-05	2.0774573e-06	2.7064252e-07	2.737334e-08	2.1561517e-09	1.3268718e-10	6.399732e-12	1.587301e-32	8.26721e-30	4.9114975e-31	2.4622141e-32	1.0600718e-33	3.988079e-35	1.3346211e-36	4.061878e-38	1.162634e-39	3.3013e-41	1.009e-42	3e-45	1e-45	0.0	0.0	0.0
patient2	p2_t3		3	0.72	0.67	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18e-43	5.2514e-41	1.6545488e-38	3.7830008e-36	5.9078454e-34	8.221348e-32	8.10805e-30	6.25229e-28	3.8246648e-26	1.8807509e-24	7.5251386e-23	2.4775762e-21	6.7812344e-20	1.0722035e-18	3.0289796e-17	5.026954e-16	7.1745436e-15	8.8673284e-14	9.551914e-13	9.0234166e-12	7.517496e-11	5.5530247e-10	3.6550556e-09	2.153777e-08	1.14119125e-07	5.459709e-07	2.3679015e-06	9.343536e-06	3.3664826e-05	0.000111109344	0.00033698636	0.00094212114	0.0024345207	0.0058310293	0.0010785167	0.0022541075	0.004401962	0.008051233	0.013821362	0.022321263	0.0339793	0.04885838	0.066486634	0.050838023	0.062325127	0.07271662	0.08088394	0.08591677	0.08730439	0.085007854	0.07944184	0.071371116	0.061735455	0.051501684	5.0013667e-14	4.6411324e-14	4.2070127e-14	3.7468225e-14	3.278425e-14	2.823593e-14	5.5345908e-15	4.70274e-15	3.9596207e-15	3.3101541e-15	2.7526858e-15	2.2812908e-15	1.8878541e-15	1.5626759e-15	1.2962355e-15	1.0794321e-15	9.038832e-16	7.6240133e-16	6.487618e-16	5.5780174e-16	4.8533696e-16
patient2	p2_t1		4	0.49	0.48	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6e-45	3.4e-41	1.1841911e-37	2.4981252e-34	3.2918182e-31	2.7864646e-28	1.554321e-25	5.8476763e-23	1.5158826e-20	2.7607263e-18	3.5966334e-16	3.4079046e-14	2.384573e-12	1.2180149e-10	4.9708513e-09	1.518978e-07	3.606544e-06	6.7243825e-05	0.0009942965	0.011768403	0.112458274	0.8747078	5.562339e-30	4.964633e-25	2.175908e-24	7.981274e-24	2.4648661e-23	6.445782e-23	1.4349336e-22	2.7330158e-22	1.4302339e-22	2.022346e-22	2.480289e-22	2.6491317e-22	2.4735992e-22	2.0268563e-22	1.4624093e-22	9.3226275e-23	5.267963e-23	2.6464336e-23	1.1854923e-23	4.748343e-24	1.7050775e-24	5.50332e-25	1.6003848e-25	4.2032333e-26	9.9922415e-27	4.046001e-28	7.937441e-29	1.4185952e-29	2.3144506e-30	3.4534298e-31	4.722456e-32	5.929184e-33	6.847942e-34	7.289509e-35	7.1653584e-36	6.51719e-37	5.4960876e-38	4.306773e-39	3.14328e-40	2.1422e-41	1.366e-42	8.1e-44	4e-45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
