n_iter	likelihood	edges
135	[0.25, 0.25, 0.24999999999999994, 0.5, 0.25, 0.5, 0.25, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5, 0.25, 0.5, 0.5, 0.25, 0.5, 0.25, 0.25, 0.25, 0.5, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.25, 0.5, 0.25, 0.5, 0.5, 0.25, 0.5, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5, 0.25, 0.5, 0.5, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.5, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.5, 0.25, 0.25, 0.25, 0.5, 0.25, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5]	1-2,1-3,2-5,3-4,3-6,None-1
132	[0.3333333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.33333333333333337, 0.3333333333333332, 0.5, 0.3333333333333333, 0.3333333333333332, 0.5, 0.5, 0.3333333333333333, 0.3333333333333332, 0.5, 0.3333333333333332, 0.3333333333333333, 0.3333333333333332, 0.5, 0.5, 0.3333333333333333, 0.3333333333333332, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333332, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333332, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333332, 0.5, 0.3333333333333332, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.3333333333333332, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333]	1-2,1-3,2-4,2-5,4-6,None-1
128	[0.25, 0.3333333333333333, 0.33333333333333337, 0.3333333333333333, 0.3333333333333333, 0.3333333333333332, 0.25, 0.3333333333333333, 0.5, 0.25, 0.5, 0.3333333333333332, 0.5, 0.5, 0.3333333333333332, 0.5, 0.5, 0.3333333333333333, 0.3333333333333332, 0.24999999999999994, 0.5, 0.3333333333333332, 0.3333333333333333, 0.3333333333333332, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.3333333333333332, 0.5, 0.3333333333333333, 0.5, 0.3333333333333332, 0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.3333333333333332, 0.25, 0.3333333333333332, 0.5, 0.5, 0.25, 0.5, 0.3333333333333332, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25, 0.5, 0.5, 0.5, 0.3333333333333333, 0.25, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333, 0.5, 0.25, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.3333333333333333, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.25, 0.5]	1-2,1-3,2-5,2-6,3-4,None-1
121	[0.25, 0.5, 0.5, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.24999999999999994, 0.5, 0.25, 0.25, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.24999999999999994, 0.25, 0.5, 0.25, 0.25, 0.25, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.24999999999999994, 0.3333333333333333, 0.25, 0.25, 0.5, 0.25, 0.5, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.25, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.5, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 0.25, 0.3333333333333333, 0.25, 0.5, 0.5, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.5, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.25, 0.5, 0.3333333333333333, 0.3333333333333333, 0.25, 0.25, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.25, 0.25, 0.25, 0.25, 0.25, 0.3333333333333333, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.25, 0.5]	1-2,1-3,2-4,3-5,4-6,None-1
104	[0.3333333333333333, 0.25, 0.25, 0.24999999999999994, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333332, 0.25, 0.3333333333333333, 0.5, 0.5, 0.25, 0.5, 0.5, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.33333333333333337, 0.3333333333333333, 0.5, 0.3333333333333333, 0.33333333333333337, 0.3333333333333333, 0.24999999999999994, 0.33333333333333337, 0.3333333333333332, 0.25, 0.5, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.3333333333333332, 0.25, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.24999999999999994, 0.5, 0.5, 0.25, 0.3333333333333332, 0.3333333333333333, 0.3333333333333332, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.25, 0.25, 0.5, 0.25, 0.5, 0.25, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 0.25, 0.5, 0.25, 0.5, 0.3333333333333333, 0.5, 0.25, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.3333333333333333, 0.5, 0.25, 0.5, 0.5, 0.3333333333333333]	1-2,1-3,2-4,2-5,3-6,None-1
90	[0.24999999999999994, 0.3333333333333333, 0.5, 0.25, 0.5, 0.5, 0.3333333333333332, 0.3333333333333333, 0.3333333333333333, 0.25, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.5, 0.25, 0.25, 0.5, 0.5, 0.3333333333333333, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.25, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.25, 0.25, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.25, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5]	1-2,1-3,2-6,3-4,3-5,None-1
86	[0.25000000000000006, 0.33333333333333337, 0.3333333333333333, 0.5, 0.5, 0.25, 0.5, 0.24999999999999994, 0.5, 0.3333333333333332, 0.25, 0.3333333333333333, 0.3333333333333333, 0.5, 0.24999999999999994, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333332, 0.25, 0.5, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25, 0.25, 0.25, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.25, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.5, 0.3333333333333333, 0.3333333333333333, 0.25, 0.25, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]	1-2,1-3,2-4,3-5,3-6,None-1
73	[0.25, 0.25, 0.5, 0.24999999999999994, 0.25, 0.24999999999999994, 0.3333333333333333, 0.25, 0.25, 0.25, 0.5, 0.5, 0.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.5, 0.5, 0.5, 0.25, 0.5, 0.25, 0.5, 0.25, 0.3333333333333333, 0.5, 0.25, 0.5, 0.25, 0.5, 0.25, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.5, 0.25, 0.3333333333333333, 0.25, 0.25, 0.5, 0.3333333333333333, 0.3333333333333333, 0.25, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.25, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25, 0.5, 0.5, 0.5, 0.25, 0.25, 0.3333333333333333, 0.5, 0.25, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 0.25]	1-2,1-3,2-5,3-4,4-6,None-1
68	[0.24999999999999994, 0.24999999999999994, 0.5, 0.25000000000000006, 0.25000000000000006, 0.5, 0.5, 0.5, 0.25000000000000006, 0.25000000000000006, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 0.5, 0.24999999999999994, 0.5, 0.25, 0.25, 0.25, 0.25, 0.24999999999999994, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.24999999999999994, 0.24999999999999994, 0.25, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5, 0.25, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.25]	1-2,1-3,2-4,2-6,3-5,None-1
62	[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.33333333333333337, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.33333333333333337, 0.33333333333333337, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.33333333333333337, 0.5, 0.33333333333333337, 0.33333333333333337, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.33333333333333337, 0.5, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.33333333333333337, 0.33333333333333337, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5]	1-2,1-3,3-4,3-5,4-6,None-1
