Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major
1	1	249250621	1.4823021452780463	0.9882014301853642	249250620	12462	249	3.0	0.006811042385994867	0.013784724810036491
2	1	209900405	0.9882014301853642	0.9882014301853642	209900404	10495	209	2.0	0.00681086157927057	0.01378435887912651
2	209900405	212572127	1.4823021452780463	0.9882014301853642	2671722	133	2	3.0	1.2445962128840459e-05	2.518911984676217e-05
2	212572127	243199373	0.9882014301853642	0.9882014301853642	30627246	1531	30	2.0	0.007782130909681574	0.015750090360063175
3	1	198022430	0.9882014301853642	0.4941007150926821	198022429	9901	198	1.0	0.047626679052499336	0.09639062967873999
4	1	191154276	0.9882014301853642	0.7411510726390231	191154275	9557	191	1.5	0.011180283092196715	0.022627538780427683
5	1	39827982	0.9882014301853642	0.9882014301853642	39827981	1991	39	2.0	0.052117370090048055	0.10547924440925373
5	39827982	42314699	1.4823021452780463	0.9882014301853642	2486717	124	2	3.0	0.0008987273435111072	0.0018189152860111249
5	42314699	180915260	0.9882014301853642	0.9882014301853642	138600561	6930	138	2.0	0.0955891536559455	0.19346086887976907
6	1	22491975	0.9882014301853642	0.9882014301853642	22491974	1124	22	2.0	0.009483062749414777	0.019192570380384837
6	22491975	23255188	0.9882014301853642	0.9882014301853642	763213	38	0	2.0	0.000582221651994077	0.001178346102747221
6	23255188	171115067	0.9882014301853642	0.9882014301853642	147859879	7392	147	2.0	0.01715759824287987	0.03472490065038965
7	1	159138663	0.9882014301853642	0.9882014301853642	159138662	7956	159	2.0	0.01583395063175808	0.032045998210684615
8	1	73182011	0.9882014301853642	0.9882014301853642	73182010	3659	73	2.0	0.006934862395323804	0.014035321511370371
8	73182011	146364022	0.9882014301853642	0.9882014301853642	73182011	3659	73	2.0	0.04833071398159007	0.09781551109984596
9	1	118183313	1.4823021452780463	0.9882014301853642	118183312	5909	118	3.0	0.09444439066606784	0.19114400724628017
9	118183313	118587812	1.6470023836422736	0.9882014301853642	404499	20	0	3.333333333333333	0.01399404671334406	0.028322255535936827
9	118587812	141213431	1.4823021452780463	0.9882014301853642	22625619	1131	22	3.0	0.03929448312284386	0.07952727434420552
10	1	135534747	1.2352517877317053	0.9882014301853642	135534746	6776	135	2.5	0.006338392518610252	0.012828138727589805
11	1	135006516	0.9882014301853642	0.9882014301853642	135006515	6750	135	2.0	0.0025510483506584257	0.005163012869106872
12	1	100282058	0.9882014301853642	0.9882014301853642	100282057	5014	100	2.0	0.007516034739946359	0.015211543943093708
12	100282058	104315956	0.9882014301853642	0.4941007150926821	4033898	201	4	1.0	0.018064491281014998	0.036560342313259976
12	104315956	133851895	0.9882014301853642	0.9882014301853642	29535939	1476	29	2.0	0.047864081539457114	0.09687110355725531
13	1	57584939	0.9882014301853642	0.4941007150926821	57584938	2879	57	1.0	0.0024037492318685814	0.004864897294102666
13	57584939	115169878	0.9882014301853642	0.4941007150926821	57584939	2879	57	1.0	0.013024016093588582	0.026359031055329624
14	1	53674770	1.4823021452780463	0.9882014301853642	53674769	2683	53	3.0	0.032009069998763816	0.06478248061786278
14	53674770	96743901	0.9882014301853642	0.9882014301853642	43069131	2153	43	2.0	0.023007100515083083	0.04656358473548752
14	96743901	103112291	1.2352517877317053	0.9882014301853642	6368390	318	6	2.5	0.014122547815848653	0.02858232620286652
14	103112291	107349540	0.9882014301853642	0.9882014301853642	4237249	211	4	2.0	0.013196957112006094	0.026709042729336354
15	1	102531392	0.9882014301853642	0.4941007150926821	102531391	5126	102	1.0	0.03616139296172856	0.07318627934983964
16	1	64089709	1.070551549367478	0.9882014301853642	64089708	3204	64	2.166666666666667	0.009736450309597262	0.019705396110934435
16	64089709	64599365	0.9882014301853642	0.8235011918211368	509656	25	0	1.6666666666666665	0.0021568911491093128	0.004365286434982651
16	64599365	90354753	1.070551549367478	0.9882014301853642	25755388	1287	25	2.166666666666667	0.014179336153135361	0.0286972589191166
17	1	81195210	0.9882014301853642	0.4941007150926821	81195209	4059	81	1.0	0.0015454348836663873	0.003127773015621924
18	1	78077248	0.9882014301853642	0.9882014301853642	78077247	3903	78	2.0	0.006745267405822553	0.013651604217082126
19	1	59128983	0.9882014301853642	0.9882014301853642	59128982	2956	59	2.0	0.037005129736408106	0.07489390038520138
20	1	31512760	1.4823021452780463	0.9882014301853642	31512759	1575	31	3.0	0.0006684511772464342	0.0013528642174117232
20	31512760	63025520	0.9882014301853642	0.9882014301853642	31512760	1575	31	2.0	0.021123785161176144	0.04275198257345934
21	1	48129895	0.9882014301853642	0.4941007150926821	48129894	2406	48	1.0	0.0318524311419457	0.06446546254435374
22	1	24985628	0.9882014301853642	0.9882014301853642	24985627	1249	24	2.0	0.009673697903317683	0.019578392841433385
22	24985628	29245858	0.9882014301853642	0.4941007150926821	4260230	213	4	1.0	0.00798770036354845	0.016166138035339898
22	29245858	51304566	0.9882014301853642	0.9882014301853642	22058708	1102	22	2.0	0.02826715281059817	0.057209293464179446
