Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	249250621	1.0	0.0	249250620	12462	249	1.0	0.012738093553804144	0.012738093553804144	0.025476187107608288
2	1	115116963	1.0	1.0	115116962	5755	115	2.0	0.006887412177547065	0.006887412177547065	0.01377482435509413
2	115116963	129712734	4.0	1.0	14595771	729	14	5.0	0.00489305688793326	0.00489305688793326	0.00978611377586652
2	129712734	243199373	1.0	1.0	113486639	5674	113	2.0	0.02196406737758295	0.02196406737758295	0.0439281347551659
3	1	198022430	1.0	0.0	198022429	9901	198	1.0	0.0033628616694115067	0.0033628616694115067	0.006725723338823013
4	1	191154276	1.0	1.0	191154275	9557	191	2.0	0.006276908486803487	0.006276908486803487	0.012553816973606973
5	1	180915260	1.0	0.0	180915259	9045	180	1.0	0.019003779439653798	0.019003779439653798	0.038007558879307596
6	1	35374696	1.0	0.5	35374695	1768	35	1.5	0.0015740351530290023	0.0015740351530290023	0.0031480703060580047
6	35374696	39327455	1.0	0.5	3952759	197	3	1.5	0.0018602456468629494	0.0018602456468629494	0.003720491293725899
6	39327455	171115067	1.0	0.5	131787612	6589	131	1.5	0.0009170477613821734	0.0009170477613821734	0.0018340955227643468
7	1	159138663	1.0	1.0	159138662	7956	159	2.0	0.018352754466620724	0.018352754466620724	0.03670550893324145
8	1	45697804	1.0	1.0	45697803	2284	45	2.0	0.011825533899427488	0.011825533899427488	0.023651067798854977
8	45697804	48663006	1.0	1.0	2965202	148	2	2.0	0.006993329623881911	0.006993329623881911	0.013986659247763822
8	48663006	141858107	1.0	1.0	93195101	4659	93	2.0	0.0066662764203357875	0.0066662764203357875	0.013332552840671575
8	141858107	143391095	2.0	1.0	1532988	76	1	3.0	0.0025134649112383235	0.0025134649112383235	0.005026929822476647
8	143391095	146364022	1.0	1.0	2972927	148	2	2.0	0.018960447919889795	0.018960447919889795	0.03792089583977959
9	1	70606715	1.0	1.0	70606714	3530	70	2.0	0.016013165097533217	0.016013165097533217	0.032026330195066434
9	70606715	141213431	2.0	1.0	70606716	3530	70	3.0	0.010759174793629813	0.010759174793629813	0.021518349587259625
10	1	135534747	1.0	1.0	135534746	6776	135	2.0	0.02185324165084606	0.02185324165084606	0.04370648330169212
11	1	67503258	1.0	0.0	67503257	3375	67	1.0	0.002957948173644987	0.002957948173644987	0.005915896347289974
11	67503258	135006516	1.0	0.0	67503258	3375	67	1.0	0.00033089310056300835	0.00033089310056300835	0.0006617862011260167
12	1	66925947	1.0	1.0	66925946	3346	66	2.0	0.0008849805086850266	0.0008849805086850266	0.0017699610173700531
12	66925947	133851895	1.0	0.875	66925948	3346	66	1.875	0.0006948423227976468	0.0006948423227976468	0.0013896846455952936
13	1	9466822	1.0	1.0	9466821	473	9	2.0	0.004868027474938155	0.004868027474938155	0.00973605494987631
13	9466822	11576166	1.375	1.0	2109344	105	2	2.375	0.01362248821007064	0.01362248821007064	0.02724497642014128
13	11576166	115169878	1.0	1.0	103593712	5179	103	2.0	0.0003312020917119202	0.0003312020917119202	0.0006624041834238404
14	1	53674770	1.0	1.0	53674769	2683	53	2.0	0.0005599813202915672	0.0005599813202915672	0.0011199626405831345
14	53674770	107349540	2.0	1.0	53674770	2683	53	3.0	0.013994923594188158	0.013994923594188158	0.027989847188376316
15	1	102531392	1.0	1.0	102531391	5126	102	2.0	0.004406095481230598	0.004406095481230598	0.008812190962461197
16	1	90354753	1.0	0.0	90354752	4517	90	1.0	0.0013419607702499139	0.0013419607702499139	0.0026839215404998278
17	1	81195210	1.0	1.0	81195209	4059	81	2.0	0.036125609431123355	0.036125609431123355	0.07225121886224671
18	1	78077248	2.0	1.0	78077247	3903	78	3.0	0.00749162909824428	0.00749162909824428	0.01498325819648856
19	1	59128983	1.5	1.0	59128982	2956	59	2.5	0.01088448259758861	0.01088448259758861	0.02176896519517722
20	1	42024600	1.0	1.0	42024599	2101	42	2.0	0.03285801761990516	0.03285801761990516	0.06571603523981032
20	42024600	42424646	2.0	1.0	400046	20	0	3.0	0.00652032166013456	0.00652032166013456	0.01304064332026912
20	42424646	63025520	1.0	1.0	20600874	1030	20	2.0	0.006235858589539352	0.006235858589539352	0.012471717179078703
21	1	24064947	2.0	1.0	24064946	1203	24	3.0	0.005959774786598889	0.005959774786598889	0.011919549573197777
21	24064947	48129895	1.0	1.0	24064948	1203	24	2.0	0.004696653316305712	0.004696653316305712	0.009393306632611424
22	1	3123242	1.0	0.0	3123241	156	3	1.0	0.01360652379412721	0.01360652379412721	0.02721304758825442
22	3123242	4346182	0.25	0.0	1222940	61	1	0.25	0.003316225012593601	0.003316225012593601	0.006632450025187202
22	4346182	17788161	1.0	0.0	13441979	672	13	1.0	0.007820594328756213	0.007820594328756213	0.015641188657512427
22	17788161	18828259	1.0	0.0	1040098	52	1	1.0	0.003788865085522075	0.003788865085522075	0.00757773017104415
22	18828259	51304566	1.0	0.0	32476307	1623	32	1.0	0.017466815055170667	0.017466815055170667	0.034933630110341334
