Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major
1	1	249250621	2.0	1.0	249250620	12462	249	3.0	0.0033653409134466314	0.0033653409134466314
2	1	209900405	1.0	1.0	209900404	10495	209	2.0	0.003365251576714863	0.003365251576714863
2	209900405	212572127	2.0	1.0	2671722	133	2	3.0	6.149558787876511e-06	6.149558787876511e-06
2	212572127	243199373	1.0	1.0	30627246	1531	30	2.0	0.0038451564474185304	0.0038451564474185304
3	1	198022430	1.0	0.0	198022429	9901	198	1.0	0.023532376177329586	0.023532376177329586
4	1	191154276	1.0	0.5	191154275	9557	191	1.5	0.00552418587079302	0.00552418587079302
5	1	39827982	1.0	1.0	39827981	1991	39	2.0	0.025751229830242705	0.025751229830242705
5	39827982	42314699	2.0	1.0	2486717	124	2	3.0	0.00044406182310218465	0.00044406182310218465
5	42314699	180915260	1.0	1.0	138600561	6930	138	2.0	0.047230669176506944	0.047230669176506944
6	1	22491975	1.0	1.0	22491974	1124	22	2.0	0.004685588085754618	0.004685588085754618
6	22491975	23255188	1.0	1.0	763213	38	0	2.0	0.00028767613459271615	0.00028767613459271615
6	23255188	171115067	1.0	1.0	147859879	7392	147	2.0	0.008477581561079889	0.008477581561079889
7	1	159138663	1.0	1.0	159138662	7956	159	2.0	0.007823566329893892	0.007823566329893892
8	1	73182011	1.0	1.0	73182010	3659	73	2.0	0.0034265204685988418	0.0034265204685988418
8	73182011	146364022	1.0	1.0	73182011	3659	73	2.0	0.023880240339243543	0.023880240339243543
9	1	118183313	2.0	1.0	118183312	5909	118	3.0	0.046665040964596755	0.046665040964596755
9	118183313	118587812	2.333333333333333	1.0	404499	20	0	3.333333333333333	0.006914468488103698	0.006914468488103698
9	118587812	141213431	2.0	1.0	22625619	1131	22	3.0	0.01941543221019448	0.01941543221019448
10	1	135534747	1.5	1.0	135534746	6776	135	2.5	0.003131804275983432	0.003131804275983432
11	1	135006516	1.0	1.0	135006515	6750	135	2.0	0.0012604748142963354	0.0012604748142963354
12	1	100282058	1.0	1.0	100282057	5014	100	2.0	0.0037136781396689368	0.0037136781396689368
12	100282058	104315956	1.0	0.0	4033898	201	4	1.0	0.008925678059735032	0.008925678059735032
12	104315956	133851895	1.0	1.0	29535939	1476	29	2.0	0.023649676915900204	0.023649676915900204
13	1	57584939	1.0	0.0	57584938	2879	57	1.0	0.0011876942143697513	0.0011876942143697513
13	57584939	115169878	1.0	0.0	57584939	2879	57	1.0	0.006435175665220718	0.006435175665220718
14	1	53674770	2.0	1.0	53674769	2683	53	3.0	0.015815704375840917	0.015815704375840917
14	53674770	96743901	1.0	1.0	43069131	2153	43	2.0	0.011367824816711766	0.011367824816711766
14	96743901	103112291	1.5	1.0	6368390	318	6	2.5	0.006977960974741415	0.006977960974741415
14	103112291	107349540	1.0	1.0	4237249	211	4	2.0	0.006520625946089668	0.006520625946089668
15	1	102531392	1.0	0.0	102531391	5126	102	1.0	0.017867370121137562	0.017867370121137562
16	1	64089709	1.1666666666666667	1.0	64089708	3204	64	2.166666666666667	0.004810787060436373	0.004810787060436373
16	64089709	64599365	1.0	0.6666666666666666	509656	25	0	1.6666666666666665	0.0010657214591519883	0.0010657214591519883
16	64599365	90354753	1.1666666666666667	1.0	25755388	1287	25	2.166666666666667	0.007006020132803702	0.007006020132803702
17	1	81195210	1.0	0.0	81195209	4059	81	1.0	0.000763600481148738	0.000763600481148738
18	1	78077248	1.0	1.0	78077247	3903	78	2.0	0.003332841448708284	0.003332841448708284
19	1	59128983	1.0	1.0	59128982	2956	59	2.0	0.01828426106485672	0.01828426106485672
20	1	31512760	2.0	1.0	31512759	1575	31	3.0	0.00033028220468200837	0.00033028220468200837
20	31512760	63025520	1.0	1.0	31512760	1575	31	2.0	0.01043727735360132	0.01043727735360132
21	1	48129895	1.0	0.0	48129894	2406	48	1.0	0.015738309004675786	0.015738309004675786
22	1	24985628	1.0	1.0	24985627	1249	24	2.0	0.004779781051619847	0.004779781051619847
22	24985628	29245858	1.0	0.0	4260230	213	4	1.0	0.0039467284615753665	0.0039467284615753665
22	29245858	51304566	1.0	1.0	22058708	1102	22	2.0	0.013966820417350674	0.013966820417350674
