Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	59008044	0.9002429203922775	0.9002429203922775	59008043	2950	59	2.0	0.0442033194671673	0.24550773166816947	0.0884066389343346
1	59008044	59513937	0.9002429203922775	0.720194336313822	505893	25	0	1.0	0.06975510356796645	0.387423783002764	0.1395102071359329
1	59513937	150253045	0.9002429203922775	0.9002429203922775	90739108	4536	90	2.0	0.051276334692072774	0.2847916575102268	0.10255266938414555
1	150253045	151397637	1.080291504470733	0.9002429203922775	1144592	57	1	3.0	0.04372159638724239	0.24283221448823428	0.08744319277448478
1	151397637	249250621	0.9002429203922775	0.9002429203922775	97852984	4892	97	2.0	0.030605544271060853	0.16998492061300854	0.061211088542121705
2	1	243199373	0.9002429203922775	0.720194336313822	243199372	12159	243	1.0	0.05765995329856276	0.32024663561607153	0.11531990659712552
3	1	198022430	0.9002429203922775	0.720194336313822	198022429	9901	198	1.0	0.03196466121154607	0.17753353282477127	0.06392932242309214
4	1	191154276	0.9002429203922775	0.9002429203922775	191154275	9557	191	2.0	0.12349580111464604	0.6859026509246705	0.2469916022292921
5	1	90457630	0.9002429203922775	0.9002429203922775	90457629	4522	90	2.0	0.184112093911794	1.0225689630059398	0.368224187823588
5	90457630	180915260	0.9002429203922775	0.8042170088837679	90457630	4522	90	1.4666666666666668	0.026859533685170526	0.14917936635073223	0.05371906737034105
6	1	106930291	0.9002429203922775	0.720194336313822	106930290	5346	106	1.0	0.08713737728065263	0.4839659124599549	0.17427475456130526
6	106930291	106938387	1.2603400885491887	0.720194336313822	8096	0	0	3.0	0.041803944940139795	0.2321814700965595	0.08360788988027959
6	106938387	171115067	0.9002429203922775	0.720194336313822	64176680	3208	64	1.0	0.04662257418103567	0.25894440891976167	0.09324514836207135
7	1	1278676	1.080291504470733	0.9002429203922775	1278675	63	1	3.0	0.1443085024647159	0.8014975691329737	0.2886170049294318
7	1278676	4156826	1.080291504470733	0.9962688319007871	2878150	143	2	3.533333333333333	0.0040925262084116005	0.022730121591116193	0.008185052416823201
7	4156826	159138663	1.080291504470733	0.9002429203922775	154981837	7749	154	3.0	0.005063135019116696	0.028120937718179743	0.010126270038233392
8	1	146364022	0.9002429203922775	0.720194336313822	146364021	7318	146	1.0	0.001134448615009634	0.006300791649187879	0.002268897230019268
9	1	85298823	0.960259115085096	0.9002429203922775	85298822	4264	85	2.333333333333333	0.09927807479096848	0.5513960317938875	0.19855614958193696
9	85298823	86316183	0.9002429203922775	0.840226725699459	1017360	50	1	1.6666666666666667	0.08363210627688555	0.4644974394269225	0.1672642125537711
9	86316183	141213431	0.960259115085096	0.9002429203922775	54897248	2744	54	2.333333333333333	0.11332020695350159	0.6293868265252379	0.22664041390700318
10	1	16293710	1.080291504470733	0.9002429203922775	16293709	814	16	3.0	0.2135657915805274	1.1861564625660532	0.4271315831610548
10	16293710	17139888	0.9002429203922775	0.720194336313822	846178	42	0	1.0	0.0891559112872928	0.495176964282282	0.1783118225745856
10	17139888	128797053	1.080291504470733	0.9002429203922775	111657165	5582	111	3.0	0.034375691526864344	0.1909245313025359	0.06875138305372869
10	128797053	134907268	1.080291504470733	1.0202753097779145	6110215	305	6	3.6666666666666665	0.08422926426454577	0.4678140886009033	0.16845852852909154
