Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	249250621	0.9693934425223634	0.09693934425223631	249250620	12462	249	1.0	0.009122250783635993	0.010455851834180489	0.018244501567271986
2	1	115116963	0.9693934425223634	0.6422231556710657	115116962	5755	115	1.625	0.014395379257843541	0.01649987006352107	0.028790758515687083
2	115116963	129712734	2.278074589927554	0.9693934425223634	14595771	729	14	3.5	0.010581910814959836	0.012128902639051493	0.02116382162991967
2	129712734	243199373	0.9693934425223634	0.6422231556710657	113486639	5674	113	1.625	0.009022837463633984	0.01034190507159536	0.01804567492726797
3	1	198022430	0.9693934425223634	0.09693934425223631	198022429	9901	198	1.0	0.006316074303371373	0.007239434505373606	0.012632148606742746
4	1	191154276	0.9693934425223634	0.9693934425223634	191154275	9557	191	2.0	0.011899299882962748	0.013638883588897437	0.023798599765925497
5	1	180915260	0.9693934425223634	0.09693934425223631	180915259	9045	180	1.0	0.0065965556275081995	0.007560919984888179	0.013193111255016399
6	1	35374696	0.9693934425223634	0.9291263302945113	35374695	1768	35	1.9538461538461538	0.025485861289910688	0.029211693016793897	0.050971722579821375
6	35374696	39327455	0.9693934425223634	0.9291263302945113	3952759	197	3	1.9538461538461538	0.03799526174072093	0.04354986906022525	0.07599052348144186
6	39327455	171115067	0.9693934425223634	0.9291263302945113	131787612	6589	131	1.9538461538461538	0.005543009103414419	0.0063533532760117846	0.011086018206828838
7	1	159138663	0.9693934425223634	0.9693934425223634	159138662	7956	159	2.0	0.017982563702548058	0.02061147255563735	0.035965127405096116
8	1	45697804	0.9693934425223634	0.3150528688197681	45697803	2284	45	1.25	0.008627091224959176	0.009888303856976184	0.017254182449918352
8	45697804	48663006	0.9693934425223634	0.3150528688197681	2965202	148	2	1.25	0.009621513021753493	0.011028102270171815	0.019243026043506986
8	48663006	141858107	0.9693934425223634	0.3150528688197681	93195101	4659	93	1.25	0.029780983997635777	0.0341347287572888	0.05956196799527155
8	141858107	143391095	0.9693934425223634	0.5331663933872999	1532988	76	1	1.5	0.0008445757210488064	0.0009680460241099251	0.0016891514420976127
8	143391095	146364022	0.9693934425223634	0.3150528688197681	2972927	148	2	1.25	0.0010448805192130055	0.00119763380249432	0.002089761038426011
9	1	70606715	0.9693934425223634	0.9693934425223634	70606714	3530	70	2.0	0.0002341164621121515	0.0002683424406812345	0.000468232924224303
9	70606715	141213431	1.8418475407924906	0.9693934425223634	70606716	3530	70	3.0	0.020488042673638178	0.023483232773232637	0.040976085347276356
10	1	135534747	0.9693934425223634	0.9693934425223634	135534746	6776	135	2.0	0.017259179994120428	0.019782335859664543	0.034518359988240856
11	1	67503258	0.9693934425223634	0.09693934425223631	67503257	3375	67	1.0	0.023385921219133684	0.02680475828528115	0.04677184243826737
11	67503258	135006516	0.9693934425223634	0.09693934425223631	67503258	3375	67	1.0	0.04407362915471458	0.05051684580552983	0.08814725830942916
12	1	66925947	0.9693934425223634	0.9693934425223634	66925946	3346	66	2.0	0.018399129101839985	0.021088936527802624	0.03679825820367997
12	66925947	133851895	0.9693934425223634	0.8083249936109553	66925948	3346	66	1.8153846153846154	0.007094120594311623	0.008131225021898125	0.014188241188623246
13	1	9466822	1.6237340162249587	0.9693934425223634	9466821	473	9	2.75	0.017382415646703807	0.019923587591793173	0.034764831293407614
13	9466822	11576166	2.106939362959183	0.9693934425223634	2109344	105	2	3.3038461538461537	0.0014427625714650476	0.0016536830697749133	0.002885525142930095
13	11576166	115169878	1.6237340162249587	0.9693934425223634	103593712	5179	103	2.75	0.011707571646661228	0.013419126198013867	0.023415143293322456
14	1	53674770	0.9693934425223634	0.9693934425223634	53674769	2683	53	2.0	0.0017734994085584338	0.0020327710215068844	0.0035469988171168676
14	53674770	107349540	1.8418475407924906	0.9693934425223634	53674770	2683	53	3.0	0.03317561869937326	0.03802563225406674	0.06635123739874652
15	1	102531392	0.9693934425223634	0.9693934425223634	102531391	5126	102	2.0	0.008456918017509437	0.009693252670000098	0.016913836035018875
16	1	90354753	0.9693934425223634	0.09693934425223631	90354752	4517	90	1.0	0.006138611983858614	0.007036028595693514	0.012277223967717228
17	1	81195210	0.9693934425223634	0.9693934425223634	81195209	4059	81	2.0	0.003522023149409453	0.004036915129853597	0.007044046298818906
18	1	78077248	1.1875069670898952	0.9693934425223634	78077247	3903	78	2.25	0.01705825947379463	0.019552042345399236	0.03411651894758926
19	1	59128983	1.8015804285646384	0.9693934425223634	59128982	2956	59	2.953846153846154	0.006981254572713376	0.008001858878943401	0.013962509145426752
20	1	42024600	0.9693934425223634	0.9693934425223634	42024599	2101	42	2.0	0.009631850071353892	0.011039950514819753	0.019263700142707785
20	42024600	42424646	1.1875069670898952	0.9693934425223634	400046	20	0	2.25	0.00021741627095332744	0.0002492008134117464	0.00043483254190665487
20	42424646	63025520	0.9693934425223634	0.9693934425223634	20600874	1030	20	2.0	0.011019272315885197	0.0126302029387378	0.022038544631770393
