Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major
1	1	249250621	1.0	1.0	249250620	12462	249	2.0	0.013001340675845142	0.013001340675845142
2	1	70903513	1.0	1.0	70903512	3545	70	2.0	0.011884912449915033	0.011884912449915033
2	70903513	71260184	1.0	0.0	356671	17	0	1.0	0.0010481325669950644	0.0010481325669950644
2	71260184	156726659	1.0	1.0	85466475	4273	85	2.0	0.009358199858312355	0.009358199858312355
2	156726659	157750713	1.0	0.0	1024054	51	1	1.0	0.01299152403516601	0.01299152403516601
2	157750713	243199373	1.0	1.0	85448660	4272	85	2.0	0.024679161209585257	0.024679161209585257
3	1	198022430	1.0	1.0	198022429	9901	198	2.0	0.0015810429612749192	0.0015810429612749192
4	1	191154276	1.0	1.0	191154275	9557	191	2.0	0.006309404523992387	0.006309404523992387
5	1	90457630	2.0	1.0	90457629	4522	90	3.0	0.039434444981215455	0.039434444981215455
5	90457630	180915260	2.0	0.7777777777777778	90457630	4522	90	2.7777777777777777	0.0020075384153241693	0.0020075384153241693
6	1	171115067	2.0	1.0	171115066	8555	171	3.0	0.002757506973074721	0.002757506973074721
7	1	159138663	1.0	1.0	159138662	7956	159	2.0	0.006938560114755037	0.006938560114755037
8	1	73182011	1.0	0.7777777777777778	73182010	3659	73	1.7777777777777777	0.012360184963540922	0.012360184963540922
8	73182011	146364022	1.0	1.0	73182011	3659	73	2.0	0.0030194982061775223	0.0030194982061775223
9	1	51318675	1.0	1.0	51318674	2565	51	2.0	0.010611939890487703	0.010611939890487703
9	51318675	52548969	1.0	0.0	1230294	61	1	1.0	0.04874665820220663	0.04874665820220663
9	52548969	141213431	1.0	1.0	88664462	4433	88	2.0	0.010915688504981029	0.010915688504981029
10	1	135534747	2.0	1.0	135534746	6776	135	3.0	0.009134250281072702	0.009134250281072702
11	1	135006516	1.0	1.0	135006515	6750	135	2.0	0.011051797550316479	0.011051797550316479
12	1	133851895	2.0	1.0	133851894	6692	133	3.0	0.018897763747010528	0.018897763747010528
13	1	115169878	1.0	0.0	115169877	5758	115	1.0	0.00930776584185229	0.00930776584185229
14	1	107349540	1.0	0.33333333333333337	107349539	5367	107	1.3333333333333335	0.03008916853586842	0.03008916853586842
15	1	7364554	1.3333333333333333	1.0	7364553	368	7	2.333333333333333	0.001268188801169271	0.001268188801169271
15	7364554	9737827	1.0	0.0	2373273	118	2	1.0	7.49766365916991e-05	7.49766365916991e-05
15	9737827	102531392	1.3333333333333333	1.0	92793565	4639	92	2.333333333333333	0.00284767457171995	0.00284767457171995
16	1	90354753	1.0	1.0	90354752	4517	90	2.0	0.006567137941945577	0.006567137941945577
17	1	14650808	1.0	0.0	14650807	732	14	1.0	0.009466895094867176	0.009466895094867176
17	14650808	15621223	1.4444444444444444	0.0	970415	48	0	1.4444444444444444	0.022535857263594507	0.022535857263594507
17	15621223	81195210	1.0	0.0	65573987	3278	65	1.0	0.0027744324587249554	0.0027744324587249554
18	1	78077248	1.0	1.0	78077247	3903	78	2.0	0.009904200798954318	0.009904200798954318
19	1	54655806	2.0	1.0	54655805	2732	54	3.0	0.0010165147405169618	0.0010165147405169618
19	54655806	56232770	2.6666666666666665	1.0	1576964	78	1	3.6666666666666665	0.0027362329991804206	0.0027362329991804206
19	56232770	59128983	2.0	1.0	2896213	144	2	3.0	0.0036917481876854734	0.0036917481876854734
20	1	63025520	1.0	1.0	63025519	3151	63	2.0	0.017898274838298322	0.017898274838298322
21	1	30098054	1.0	0.0	30098053	1504	30	1.0	0.00028394950713454695	0.00028394950713454695
21	30098054	32029044	1.3333333333333333	0.0	1930990	96	1	1.3333333333333333	0.030790951664193236	0.030790951664193236
21	32029044	48129895	1.0	0.0	16100851	805	16	1.0	0.0009424975476498475	0.0009424975476498475
22	1	51304566	1.0	1.0	51304565	2565	51	2.0	0.007051295654030649	0.007051295654030649
23	1	71089866	1.0	1.0	71089865	3554	71	2.0	0.004173742897673706	0.004173742897673706
23	71089866	79421885	1.4444444444444444	1.0	8332019	416	8	2.4444444444444446	0.0020248558755454945	0.0020248558755454945
23	79421885	156040895	1.0	1.0	76619010	3830	76	2.0	0.010228976830993988	0.010228976830993988
24	1	41234510	1.0	0.0	41234509	2061	41	1.0	0.025627626160714814	0.025627626160714814
24	41234510	42335672	1.0	0.0	1101162	55	1	1.0	0.008795054658052488	0.008795054658052488
24	42335672	57227415	1.0	0.0	14891743	744	14	1.0	0.01101744761587897	0.01101744761587897
