Chromosome	Start.bp	End.bp	mu.major	mu.minor	length	n_probes	n_hets	tau	sigma.minor	sigma.major	sigma.tau
1	1	249250621	0.9081644136513122	0.4994904275082217	249250620	12462	249	1.0	0.007740372583009217	0.01894021358212669	0.015480745166018434
2	1	115116963	0.9081644136513122	0.9081644136513122	115116962	5755	115	2.0	0.003281686606003038	0.008030084412698608	0.006563373212006076
2	115116963	129712734	2.134186372080584	0.9081644136513122	14595771	729	14	5.0	0.023059720673317484	0.05642571207173314	0.04611944134663497
2	129712734	243199373	0.9081644136513122	0.9081644136513122	113486639	5674	113	2.0	0.04588970654112787	0.112289277265278	0.09177941308225573
3	1	198022430	0.9081644136513122	0.4994904275082217	198022429	9901	198	1.0	0.06589782500605004	0.16124790723277652	0.13179565001210009
4	1	191154276	0.9081644136513122	0.9081644136513122	191154275	9557	191	2.0	0.004309137253393355	0.010544192680481946	0.00861827450678671
5	1	180915260	0.9081644136513122	0.4994904275082217	180915259	9045	180	1.0	0.014750917148076591	0.036094583086362146	0.029501834296153183
6	1	35374696	0.9081644136513122	0.8059959171155395	35374695	1768	35	1.75	0.0009644822091259952	0.0023600283889572008	0.0019289644182519904
6	35374696	39327455	0.9081644136513122	0.8059959171155395	3952759	197	3	1.75	0.004688360395896987	0.011472128285296423	0.009376720791793974
6	39327455	171115067	0.9081644136513122	0.8059959171155395	131787612	6589	131	1.75	0.010727796757821135	0.02625025600250703	0.02145559351564227
7	1	159138663	0.9081644136513122	0.9081644136513122	159138662	7956	159	2.0	0.008960770483331411	0.02192645185934087	0.017921540966662822
8	1	45697804	0.9081644136513122	0.9081644136513122	45697803	2284	45	2.0	0.06963941392941192	0.1704033442075484	0.13927882785882384
8	45697804	48663006	0.9081644136513122	0.9081644136513122	2965202	148	2	2.0	0.009760034315236449	0.02388220108489884	0.019520068630472898
8	48663006	141858107	0.9081644136513122	0.9081644136513122	93195101	4659	93	2.0	0.1074444457670608	0.26290992186970497	0.2148888915341216
8	141858107	143391095	1.3168383997944026	0.9081644136513122	1532988	76	1	3.0	0.011805368246955314	0.028887006874036406	0.023610736493910628
8	143391095	146364022	0.9081644136513122	0.9081644136513122	2972927	148	2	2.0	0.026559293318968027	0.06498895016446857	0.053118586637936054
9	1	70606715	0.9081644136513122	0.9081644136513122	70606714	3530	70	2.0	0.00509209508847361	0.012460042139043068	0.01018419017694722
9	70606715	141213431	1.3168383997944026	0.9081644136513122	70606716	3530	70	3.0	0.005273286983778837	0.012903407514498567	0.010546573967557675
10	1	135534747	0.9081644136513122	0.9081644136513122	135534746	6776	135	2.0	0.03920700586535218	0.0959371215069816	0.07841401173070436
11	1	67503258	0.9081644136513122	0.4994904275082217	67503257	3375	67	1.0	0.01969013487559594	0.048180543766496955	0.03938026975119188
11	67503258	135006516	0.9081644136513122	0.4994904275082217	67503258	3375	67	1.0	0.012663202592770343	0.030986074529188484	0.025326405185540687
12	1	66925947	0.9081644136513122	0.9081644136513122	66925946	3346	66	2.0	0.004815225504755467	0.011782559370122216	0.009630451009510934
12	66925947	133851895	0.9081644136513122	0.8059959171155395	66925948	3346	66	1.75	0.14614303099091353	0.3576029694724536	0.29228606198182705
13	1	9466822	0.9081644136513122	0.9081644136513122	9466821	473	9	2.0	0.06812777936502937	0.16670446780328108	0.13625555873005873
13	9466822	11576166	1.21466990325863	0.9081644136513122	2109344	105	2	2.75	0.03434038308135436	0.08402879616940101	0.06868076616270873
13	11576166	115169878	0.9081644136513122	0.9081644136513122	103593712	5179	103	2.0	0.013438642003019516	0.03288352686660657	0.02687728400603903
14	1	53674770	0.9081644136513122	0.9081644136513122	53674769	2683	53	2.0	0.010888069162466058	0.02664243267652906	0.021776138324932116
14	53674770	107349540	1.3168383997944026	0.9081644136513122	53674770	2683	53	3.0	0.006735525663331211	0.016481415239806525	0.013471051326662422
15	1	102531392	0.9081644136513122	0.9081644136513122	102531391	5126	102	2.0	0.05092494483577711	0.12461019434191874	0.10184988967155421
16	1	90354753	0.9081644136513122	0.4994904275082217	90354752	4517	90	1.0	0.04019247388098362	0.09834850086814893	0.08038494776196724
17	1	81195210	0.9081644136513122	0.9081644136513122	81195209	4059	81	2.0	0.0012402594633362997	0.003034838295046368	0.0024805189266725995
18	1	78077248	1.3168383997944026	0.9081644136513122	78077247	3903	78	3.0	0.004075047412200071	0.009971389298983323	0.008150094824400142
19	1	59128983	1.21466990325863	0.9081644136513122	59128982	2956	59	2.75	0.0025911770964177085	0.006340450296022635	0.005182354192835417
20	1	42024600	0.9081644136513122	0.9081644136513122	42024599	2101	42	2.0	0.042681171000024616	0.10443818898979419	0.08536234200004923
20	42024600	42424646	1.3168383997944026	0.9081644136513122	400046	20	0	3.0	0.02556801701655255	0.06256335828432283	0.0511360340331051
20	42424646	63025520	0.9081644136513122	0.9081644136513122	20600874	1030	20	2.0	0.0037399417749310673	0.009151406504307295	0.007479883549862135
21	1	24064947	1.3168383997944026	0.9081644136513122	24064946	1203	24	3.0	0.01617258783538487	0.03957332344056347	0.03234517567076974
21	24064947	48129895	0.9081644136513122	0.9081644136513122	24064948	1203	24	2.0	0.038294619186268114	0.09370456766205786	0.07658923837253623
22	1	3123242	0.9081644136513122	0.4994904275082217	3123241	156	3	1.0	0.01994950904454188	0.04881521633617484	0.03989901808908376
22	3123242	4346182	0.703827420579767	0.4994904275082217	1222940	61	1	0.5	0.024386103440570038	0.05967128877156288	0.048772206881140076
22	4346182	17788161	0.9081644136513122	0.4994904275082217	13441979	672	13	1.0	0.03270248550426266	0.08002096197239338	0.06540497100852533
22	17788161	18828259	0.9081644136513122	0.4994904275082217	1040098	52	1	1.0	0.0016702017171259596	0.004086880432221017	0.003340403434251919
22	18828259	51304566	0.9081644136513122	0.4994904275082217	32476307	1623	32	1.0	0.028018551129151806	0.06855966388656207	0.05603710225830361
